Distance (µm),Mg Ox%,Si Ox%,Ca Ox%,Mn Ox%,Fe Ox%,Ni Ox%,Ti Ox%,K Ox%,Cr Ox%,
111,29.73267,54.5755,2.211355,0.264186,10.97706,0.103671,0.300201,-0.015493,0.3676,
111.5,29.63673,54.89747,2.205835,0.272725,11.09961,0.022732,0.27061,0.013281,0.435432,
112,29.44191,54.75636,2.219831,0.251679,11.09096,0.007849,0.241384,0.034496,0.445022,
112.5,29.5869,55.12939,2.227241,0.200756,10.98104,0.055139,0.357399,-0.001224,0.401681,
113,29.61165,54.82982,2.161916,0.278011,11.06255,0.116647,0.334013,0.01249,0.51141,
113.5,29.61392,54.43149,2.313508,0.255286,11.07955,0.079873,0.324932,0.018715,0.45524,
114,29.75191,54.87594,2.19596,0.243562,11.20615,0.050633,0.325711,0.00645,0.434746,
114.5,29.51177,54.52601,2.290885,0.152563,11.16566,0.033113,0.310628,-0.007616,0.487071,
115,29.26434,54.39137,2.184571,0.262391,11.34338,0.047414,0.229144,-0.010467,0.461294,
115.5,29.56499,54.43642,2.300452,0.15807,11.19941,0.082964,0.350104,-0.006714,0.437699,
116,29.36621,54.63894,2.229659,0.166804,11.21091,-0.021856,0.336231,0.027761,0.504908,
116.5,29.51477,54.4824,2.318693,0.272907,11.04848,0.099869,0.336103,0.021682,0.456679,
117,29.63396,54.59567,2.231401,0.170026,11.21047,-0.053859,0.293749,0.018782,0.612518,
117.5,29.43649,54.52836,2.301067,0.302603,10.95646,0.014642,0.289739,-0.004814,0.463109,
118,29.88126,54.36818,2.281993,0.286291,10.90981,0.101536,0.274095,0.000183,0.455023,
118.5,29.99647,54.72757,2.242682,0.216418,10.79928,0.164339,0.333436,-0.016197,0.508511,
119,29.78231,54.80043,2.252576,0.242909,10.53797,0.055309,0.277094,-0.01648,0.485142,
119.5,30.40056,54.73962,2.097987,0.224409,10.66429,0.163021,0.205451,0.011397,0.493021,
120,30.31158,55.07209,2.089339,0.214485,10.30264,0.060314,0.336406,-0.000216,0.531408,
120.5,30.49672,55.10725,1.937332,0.286657,10.19079,0.014527,0.288704,-0.017047,0.408869,
